regime,symbol,date,seed,config,anomaly_type,roc_auc
trending,SOLUSDT,2024-01-06,4,Butterworth (Matched),all,0.8403518333419302
trending,SOLUSDT,2024-01-06,4,RRCF,all,0.8779166411336947
trending,SOLUSDT,2024-01-06,4,Fixed EMA,level_shift,0.6219396324165254
trending,SOLUSDT,2024-01-06,4,Load Adaptive EMA,level_shift,0.5484101069288714
trending,SOLUSDT,2024-01-06,4,Load-Adaptive EMA (BW-Matched),level_shift,0.6237079458049667
trending,SOLUSDT,2024-01-06,4,KAMA,level_shift,0.5583811229326272
trending,SOLUSDT,2024-01-06,4,Butterworth (Default),level_shift,0.6646830542811429
trending,SOLUSDT,2024-01-06,4,Butterworth (Matched),level_shift,0.6645794837543118
trending,SOLUSDT,2024-01-06,4,RRCF,level_shift,0.6718345536463708
trending,SOLUSDT,2024-01-06,4,Fixed EMA,point,0.9983823529411764
trending,SOLUSDT,2024-01-06,4,Load Adaptive EMA,point,0.9983823529411765
trending,SOLUSDT,2024-01-06,4,Load-Adaptive EMA (BW-Matched),point,0.9983823529411765
trending,SOLUSDT,2024-01-06,4,KAMA,point,0.9988676470588235
trending,SOLUSDT,2024-01-06,4,Butterworth (Default),point,0.9959674291938998
trending,SOLUSDT,2024-01-06,4,Butterworth (Matched),point,0.9955830065359477
trending,SOLUSDT,2024-01-06,4,RRCF,point,0.999433551198257
trending,BNBUSDT,2024-01-22,5,Fixed EMA,all,0.8310113030582318
trending,BNBUSDT,2024-01-22,5,Load Adaptive EMA,all,0.8175200308906199
trending,BNBUSDT,2024-01-22,5,Load-Adaptive EMA (BW-Matched),all,0.837302101153876
trending,BNBUSDT,2024-01-22,5,KAMA,all,0.8696163675528054
trending,BNBUSDT,2024-01-22,5,Butterworth (Default),all,0.8508035926446564
trending,BNBUSDT,2024-01-22,5,Butterworth (Matched),all,0.8512614132365586
trending,BNBUSDT,2024-01-22,5,RRCF,all,0.8688253527043359
trending,BNBUSDT,2024-01-22,5,Fixed EMA,level_shift,0.6461557193020482
trending,BNBUSDT,2024-01-22,5,Load Adaptive EMA,level_shift,0.5787961238568933
trending,BNBUSDT,2024-01-22,5,Load-Adaptive EMA (BW-Matched),level_shift,0.6561552811095144
trending,BNBUSDT,2024-01-22,5,KAMA,level_shift,0.5713537674571704
trending,BNBUSDT,2024-01-22,5,Butterworth (Default),level_shift,0.7124313680261767
trending,BNBUSDT,2024-01-22,5,Butterworth (Matched),level_shift,0.7159481393679267
trending,BNBUSDT,2024-01-22,5,RRCF,level_shift,0.693510498858462
trending,BNBUSDT,2024-01-22,5,Fixed EMA,point,0.9983442265795207
trending,BNBUSDT,2024-01-22,5,Load Adaptive EMA,point,0.9984039215686275
trending,BNBUSDT,2024-01-22,5,Load-Adaptive EMA (BW-Matched),point,0.9984147058823529
trending,BNBUSDT,2024-01-22,5,KAMA,point,0.9986710239651416
trending,BNBUSDT,2024-01-22,5,Butterworth (Default),point,0.9974618736383443
trending,BNBUSDT,2024-01-22,5,Butterworth (Matched),point,0.9975179738562092
trending,BNBUSDT,2024-01-22,5,RRCF,point,0.9993421568627452
trending,ETHUSDT,2024-01-31,6,Fixed EMA,all,0.8296802031204158
trending,ETHUSDT,2024-01-31,6,Load Adaptive EMA,all,0.8400375146036175
trending,ETHUSDT,2024-01-31,6,Load-Adaptive EMA (BW-Matched),all,0.8406690586279382
trending,ETHUSDT,2024-01-31,6,KAMA,all,0.9372216742396918
trending,ETHUSDT,2024-01-31,6,Butterworth (Default),all,0.8373651814003278
trending,ETHUSDT,2024-01-31,6,Butterworth (Matched),all,0.8351539176603087
trending,ETHUSDT,2024-01-31,6,RRCF,all,0.8877200164464863
trending,ETHUSDT,2024-01-31,6,Fixed EMA,level_shift,0.6045832943667964
trending,ETHUSDT,2024-01-31,6,Load Adaptive EMA,level_shift,0.5665967581852354
trending,ETHUSDT,2024-01-31,6,Load-Adaptive EMA (BW-Matched),level_shift,0.6158639560035115
trending,ETHUSDT,2024-01-31,6,KAMA,level_shift,0.5420138962213017
trending,ETHUSDT,2024-01-31,6,Butterworth (Default),level_shift,0.6523776475876446
trending,ETHUSDT,2024-01-31,6,Butterworth (Matched),level_shift,0.6535725778149175
trending,ETHUSDT,2024-01-31,6,RRCF,level_shift,0.6554531783118791
trending,ETHUSDT,2024-01-31,6,Fixed EMA,point,0.9974351851851853
trending,ETHUSDT,2024-01-31,6,Load Adaptive EMA,point,0.997578431372549
trending,ETHUSDT,2024-01-31,6,Load-Adaptive EMA (BW-Matched),point,0.9945816993464053
trending,ETHUSDT,2024-01-31,6,KAMA,point,0.9989107843137255
trending,ETHUSDT,2024-01-31,6,Butterworth (Default),point,0.9889843137254902
trending,ETHUSDT,2024-01-31,6,Butterworth (Matched),point,0.9885993464052287
trending,ETHUSDT,2024-01-31,6,RRCF,point,0.9995578431372549
trending,SOLUSDT,2024-01-17,7,Fixed EMA,all,0.8459582576371074
trending,SOLUSDT,2024-01-17,7,Load Adaptive EMA,all,0.8439806279429684
trending,SOLUSDT,2024-01-17,7,Load-Adaptive EMA (BW-Matched),all,0.8395410141591614
trending,SOLUSDT,2024-01-17,7,KAMA,all,0.9182554692983758
trending,SOLUSDT,2024-01-17,7,Butterworth (Default),all,0.8516539679797568
trending,SOLUSDT,2024-01-17,7,Butterworth (Matched),all,0.8493337048756517
trending,SOLUSDT,2024-01-17,7,RRCF,all,0.887803363867515
trending,SOLUSDT,2024-01-17,7,Fixed EMA,level_shift,0.6209388198935676
trending,SOLUSDT,2024-01-17,7,Load Adaptive EMA,level_shift,0.5870249075087968
trending,SOLUSDT,2024-01-17,7,Load-Adaptive EMA (BW-Matched),level_shift,0.6299187810604239
trending,SOLUSDT,2024-01-17,7,KAMA,level_shift,0.551548869711685
trending,SOLUSDT,2024-01-17,7,Butterworth (Default),level_shift,0.6457419684169168
trending,SOLUSDT,2024-01-17,7,Butterworth (Matched),level_shift,0.6483776476091525
trending,SOLUSDT,2024-01-17,7,RRCF,level_shift,0.6694785122797284
trending,SOLUSDT,2024-01-17,7,Fixed EMA,point,0.998393137254902
trending,SOLUSDT,2024-01-17,7,Load Adaptive EMA,point,0.9984147058823529
trending,SOLUSDT,2024-01-17,7,Load-Adaptive EMA (BW-Matched),point,0.9983070806100218
trending,SOLUSDT,2024-01-17,7,KAMA,point,0.9987908496732026
trending,SOLUSDT,2024-01-17,7,Butterworth (Default),point,0.9962328976034858
trending,SOLUSDT,2024-01-17,7,Butterworth (Matched),point,0.9961818082788672
trending,SOLUSDT,2024-01-17,7,RRCF,point,0.9993899782135076
trending,ETHUSDT,2024-01-04,8,Fixed EMA,all,0.8129000327016938
trending,ETHUSDT,2024-01-04,8,Load Adaptive EMA,all,0.8181573979547683
trending,ETHUSDT,2024-01-04,8,Load-Adaptive EMA (BW-Matched),all,0.814770791043301
trending,ETHUSDT,2024-01-04,8,KAMA,all,0.9084881317017363
trending,ETHUSDT,2024-01-04,8,Butterworth (Default),all,0.8258835072611306
trending,ETHUSDT,2024-01-04,8,Butterworth (Matched),all,0.8243516345463733
trending,ETHUSDT,2024-01-04,8,RRCF,all,0.8652888745048497
trending,ETHUSDT,2024-01-04,8,Fixed EMA,level_shift,0.6235180848679822
trending,ETHUSDT,2024-01-04,8,Load Adaptive EMA,level_shift,0.610045462462602
trending,ETHUSDT,2024-01-04,8,Load-Adaptive EMA (BW-Matched),level_shift,0.6276204042961566
trending,ETHUSDT,2024-01-04,8,KAMA,level_shift,0.5619461662107438
trending,ETHUSDT,2024-01-04,8,Butterworth (Default),level_shift,0.6708013171886471
trending,ETHUSDT,2024-01-04,8,Butterworth (Matched),level_shift,0.6707436758807198
trending,ETHUSDT,2024-01-04,8,RRCF,level_shift,0.680348365002453
trending,ETHUSDT,2024-01-04,8,Fixed EMA,point,0.9982808278867101
trending,ETHUSDT,2024-01-04,8,Load Adaptive EMA,point,0.9983660130718954
trending,ETHUSDT,2024-01-04,8,Load-Adaptive EMA (BW-Matched),point,0.9982272331154685
trending,ETHUSDT,2024-01-04,8,KAMA,point,0.9985076252723311
trending,ETHUSDT,2024-01-04,8,Butterworth (Default),point,0.9889302832244009
trending,ETHUSDT,2024-01-04,8,Butterworth (Matched),point,0.9873363834422658
trending,ETHUSDT,2024-01-04,8,RRCF,point,0.9988779956427016
trending,ETHUSDT,2024-01-04,9,Fixed EMA,all,0.8144456239339499
trending,ETHUSDT,2024-01-04,9,Load Adaptive EMA,all,0.8192800413817076
trending,ETHUSDT,2024-01-04,9,Load-Adaptive EMA (BW-Matched),all,0.8107455545572946
trending,ETHUSDT,2024-01-04,9,KAMA,all,0.9095366045156758
trending,ETHUSDT,2024-01-04,9,Butterworth (Default),all,0.8354980837715029
trending,ETHUSDT,2024-01-04,9,Butterworth (Matched),all,0.8345846464939785
trending,ETHUSDT,2024-01-04,9,RRCF,all,0.8597120537709969
trending,ETHUSDT,2024-01-04,9,Fixed EMA,level_shift,0.6533372315709913
trending,ETHUSDT,2024-01-04,9,Load Adaptive EMA,level_shift,0.5901141793544834
trending,ETHUSDT,2024-01-04,9,Load-Adaptive EMA (BW-Matched),level_shift,0.63846834755127
trending,ETHUSDT,2024-01-04,9,KAMA,level_shift,0.5626622719261888
trending,ETHUSDT,2024-01-04,9,Butterworth (Default),level_shift,0.6917544929722368
trending,ETHUSDT,2024-01-04,9,Butterworth (Matched),level_shift,0.6909374098542422
trending,ETHUSDT,2024-01-04,9,RRCF,level_shift,0.6685511905583621
trending,ETHUSDT,2024-01-04,9,Fixed EMA,point,0.9983823529411764
trending,ETHUSDT,2024-01-04,9,Load Adaptive EMA,point,0.9983607843137254
trending,ETHUSDT,2024-01-04,9,Load-Adaptive EMA (BW-Matched),point,0.9980971677559913
trending,ETHUSDT,2024-01-04,9,KAMA,point,0.9984901960784314
trending,ETHUSDT,2024-01-04,9,Butterworth (Default),point,0.9953092592592593
trending,ETHUSDT,2024-01-04,9,Butterworth (Matched),point,0.9945675381263617
trending,ETHUSDT,2024-01-04,9,RRCF,point,0.9988779956427015
trending,SOLUSDT,2024-01-18,10,Fixed EMA,all,0.7913449865887924
trending,SOLUSDT,2024-01-18,10,Load Adaptive EMA,all,0.8002625357854073
trending,SOLUSDT,2024-01-18,10,Load-Adaptive EMA (BW-Matched),all,0.8008188051998911
trending,SOLUSDT,2024-01-18,10,KAMA,all,0.8781387638829019
trending,SOLUSDT,2024-01-18,10,Butterworth (Default),all,0.816793275828216
trending,SOLUSDT,2024-01-18,10,Butterworth (Matched),all,0.8178907534058275
trending,SOLUSDT,2024-01-18,10,RRCF,all,0.8427733082149809
trending,SOLUSDT,2024-01-18,10,Fixed EMA,level_shift,0.6280882784065949
trending,SOLUSDT,2024-01-18,10,Load Adaptive EMA,level_shift,0.5963034994677583
trending,SOLUSDT,2024-01-18,10,Load-Adaptive EMA (BW-Matched),level_shift,0.6606314375234205
trending,SOLUSDT,2024-01-18,10,KAMA,level_shift,0.5529085961119942
trending,SOLUSDT,2024-01-18,10,Butterworth (Default),level_shift,0.6626242740477752
trending,SOLUSDT,2024-01-18,10,Butterworth (Matched),level_shift,0.6640435030928111
trending,SOLUSDT,2024-01-18,10,RRCF,level_shift,0.6585707030454572
trending,SOLUSDT,2024-01-18,10,Fixed EMA,point,0.9983823529411765
trending,SOLUSDT,2024-01-18,10,Load Adaptive EMA,point,0.9983823529411765
trending,SOLUSDT,2024-01-18,10,Load-Adaptive EMA (BW-Matched),point,0.9983715686274509
trending,SOLUSDT,2024-01-18,10,KAMA,point,0.9987705882352942
trending,SOLUSDT,2024-01-18,10,Butterworth (Default),point,0.9968570806100218
trending,SOLUSDT,2024-01-18,10,Butterworth (Matched),point,0.996955991285403
trending,SOLUSDT,2024-01-18,10,RRCF,point,0.9993745098039215
trending,XRPUSDT,2024-01-30,11,Fixed EMA,all,0.8514919818282841
trending,XRPUSDT,2024-01-30,11,Load Adaptive EMA,all,0.8382563830216578
trending,XRPUSDT,2024-01-30,11,Load-Adaptive EMA (BW-Matched),all,0.8580467275948139
trending,XRPUSDT,2024-01-30,11,KAMA,all,0.9041128217338161
trending,XRPUSDT,2024-01-30,11,Butterworth (Default),all,0.8821583947245066
trending,XRPUSDT,2024-01-30,11,Butterworth (Matched),all,0.8809731363559816
trending,XRPUSDT,2024-01-30,11,RRCF,all,0.8824857867545236
trending,XRPUSDT,2024-01-30,11,Fixed EMA,level_shift,0.643573061395883
trending,XRPUSDT,2024-01-30,11,Load Adaptive EMA,level_shift,0.5867477802828116
trending,XRPUSDT,2024-01-30,11,Load-Adaptive EMA (BW-Matched),level_shift,0.6685160297456612
trending,XRPUSDT,2024-01-30,11,KAMA,level_shift,0.5386775654644405
trending,XRPUSDT,2024-01-30,11,Butterworth (Default),level_shift,0.6967103192885451
trending,XRPUSDT,2024-01-30,11,Butterworth (Matched),level_shift,0.6991452237291704
trending,XRPUSDT,2024-01-30,11,RRCF,level_shift,0.6987170468312083
trending,XRPUSDT,2024-01-30,11,Fixed EMA,point,0.9983333333333334
trending,XRPUSDT,2024-01-30,11,Load Adaptive EMA,point,0.9983607843137254
trending,XRPUSDT,2024-01-30,11,Load-Adaptive EMA (BW-Matched),point,0.9983333333333333
trending,XRPUSDT,2024-01-30,11,KAMA,point,0.9987813725490196
trending,XRPUSDT,2024-01-30,11,Butterworth (Default),point,0.9970470588235294
trending,XRPUSDT,2024-01-30,11,Butterworth (Matched),point,0.9968204793028322
trending,XRPUSDT,2024-01-30,11,RRCF,point,0.999313725490196
trending,BNBUSDT,2024-01-26,12,Fixed EMA,all,0.8657545456019443
trending,BNBUSDT,2024-01-26,12,Load Adaptive EMA,all,0.8342082246948739
trending,BNBUSDT,2024-01-26,12,Load-Adaptive EMA (BW-Matched),all,0.8619799219024684
trending,BNBUSDT,2024-01-26,12,KAMA,all,0.9064859731174091
trending,BNBUSDT,2024-01-26,12,Butterworth (Default),all,0.8851166476653475
trending,BNBUSDT,2024-01-26,12,Butterworth (Matched),all,0.8840237841876597
trending,BNBUSDT,2024-01-26,12,RRCF,all,0.9000482018266587
trending,BNBUSDT,2024-01-26,12,Fixed EMA,level_shift,0.6229988636648356
trending,BNBUSDT,2024-01-26,12,Load Adaptive EMA,level_shift,0.5783569861031073
trending,BNBUSDT,2024-01-26,12,Load-Adaptive EMA (BW-Matched),level_shift,0.6209719339742317
trending,BNBUSDT,2024-01-26,12,KAMA,level_shift,0.5744085446003657
trending,BNBUSDT,2024-01-26,12,Butterworth (Default),level_shift,0.6965513269981823
trending,BNBUSDT,2024-01-26,12,Butterworth (Matched),level_shift,0.700749564320634
trending,BNBUSDT,2024-01-26,12,RRCF,level_shift,0.6818271646216354
trending,BNBUSDT,2024-01-26,12,Fixed EMA,point,0.9983823529411764
trending,BNBUSDT,2024-01-26,12,Load Adaptive EMA,point,0.998355119825708
trending,BNBUSDT,2024-01-26,12,Load-Adaptive EMA (BW-Matched),point,0.9983823529411765
trending,BNBUSDT,2024-01-26,12,KAMA,point,0.9986843137254903
trending,BNBUSDT,2024-01-26,12,Butterworth (Default),point,0.9972984749455338
trending,BNBUSDT,2024-01-26,12,Butterworth (Matched),point,0.9972984749455338
trending,BNBUSDT,2024-01-26,12,RRCF,point,0.9990087145969498
trending,SOLUSDT,2024-01-18,13,Fixed EMA,all,0.8624027976461635
trending,SOLUSDT,2024-01-18,13,Load Adaptive EMA,all,0.8521457657811686
trending,SOLUSDT,2024-01-18,13,Load-Adaptive EMA (BW-Matched),all,0.8659215618824389
trending,SOLUSDT,2024-01-18,13,KAMA,all,0.925918809030202
trending,SOLUSDT,2024-01-18,13,Butterworth (Default),all,0.8771514595288158
trending,SOLUSDT,2024-01-18,13,Butterworth (Matched),all,0.8734247987529054
trending,SOLUSDT,2024-01-18,13,RRCF,all,0.9005415024131036
trending,SOLUSDT,2024-01-18,13,Fixed EMA,level_shift,0.6597553984657247
trending,SOLUSDT,2024-01-18,13,Load Adaptive EMA,level_shift,0.5791429201992052
trending,SOLUSDT,2024-01-18,13,Load-Adaptive EMA (BW-Matched),level_shift,0.6663631812973452
trending,SOLUSDT,2024-01-18,13,KAMA,level_shift,0.5422701082420376
trending,SOLUSDT,2024-01-18,13,Butterworth (Default),level_shift,0.7216954589197541
trending,SOLUSDT,2024-01-18,13,Butterworth (Matched),level_shift,0.7225929305152884
trending,SOLUSDT,2024-01-18,13,RRCF,level_shift,0.6945140693884094
trending,SOLUSDT,2024-01-18,13,Fixed EMA,point,0.9983660130718954
trending,SOLUSDT,2024-01-18,13,Load Adaptive EMA,point,0.9984858387799564
trending,SOLUSDT,2024-01-18,13,Load-Adaptive EMA (BW-Matched),point,0.9984531590413943
trending,SOLUSDT,2024-01-18,13,KAMA,point,0.9988892156862745
trending,SOLUSDT,2024-01-18,13,Butterworth (Default),point,0.9973321350762527
trending,SOLUSDT,2024-01-18,13,Butterworth (Matched),point,0.9971625272331155
trending,SOLUSDT,2024-01-18,13,RRCF,point,0.999313725490196
trending,BTCUSDT,2024-01-08,14,Fixed EMA,all,0.8366579623044883
trending,BTCUSDT,2024-01-08,14,Load Adaptive EMA,all,0.8266336371929561
trending,BTCUSDT,2024-01-08,14,Load-Adaptive EMA (BW-Matched),all,0.8323752382765075
trending,BTCUSDT,2024-01-08,14,KAMA,all,0.9213440861765501
trending,BTCUSDT,2024-01-08,14,Butterworth (Default),all,0.8319867189985801
trending,BTCUSDT,2024-01-08,14,Butterworth (Matched),all,0.8285673994480348
trending,BTCUSDT,2024-01-08,14,RRCF,all,0.8833373082132459
trending,BTCUSDT,2024-01-08,14,Fixed EMA,level_shift,0.6329143012416251
trending,BTCUSDT,2024-01-08,14,Load Adaptive EMA,level_shift,0.5846915424751807
trending,BTCUSDT,2024-01-08,14,Load-Adaptive EMA (BW-Matched),level_shift,0.6188431184543867
trending,BTCUSDT,2024-01-08,14,KAMA,level_shift,0.5696392782087515
trending,BTCUSDT,2024-01-08,14,Butterworth (Default),level_shift,0.6285401595421056
trending,BTCUSDT,2024-01-08,14,Butterworth (Matched),level_shift,0.6260369642169326
trending,BTCUSDT,2024-01-08,14,RRCF,level_shift,0.6764080290721983
trending,BTCUSDT,2024-01-08,14,Fixed EMA,point,0.9985764705882352
trending,BTCUSDT,2024-01-08,14,Load Adaptive EMA,point,0.9985185185185186
trending,BTCUSDT,2024-01-08,14,Load-Adaptive EMA (BW-Matched),point,0.9985549019607843
trending,BTCUSDT,2024-01-08,14,KAMA,point,0.9985729847494553
trending,BTCUSDT,2024-01-08,14,Butterworth (Default),point,0.9972192810457515
trending,BTCUSDT,2024-01-08,14,Butterworth (Matched),point,0.9970627450980392
trending,BTCUSDT,2024-01-08,14,RRCF,point,0.9986710239651415
trending,SOLUSDT,2024-01-16,15,Fixed EMA,all,0.8500091979888252
trending,SOLUSDT,2024-01-16,15,Load Adaptive EMA,all,0.8440907754639528
trending,SOLUSDT,2024-01-16,15,Load-Adaptive EMA (BW-Matched),all,0.8598418569514523
trending,SOLUSDT,2024-01-16,15,KAMA,all,0.9237102103466461
trending,SOLUSDT,2024-01-16,15,Butterworth (Default),all,0.8705094215912654
trending,SOLUSDT,2024-01-16,15,Butterworth (Matched),all,0.8704862684939707
trending,SOLUSDT,2024-01-16,15,RRCF,all,0.8912677902021151
trending,SOLUSDT,2024-01-16,15,Fixed EMA,level_shift,0.6489445238264135
trending,SOLUSDT,2024-01-16,15,Load Adaptive EMA,level_shift,0.6022361056219323
trending,SOLUSDT,2024-01-16,15,Load-Adaptive EMA (BW-Matched),level_shift,0.6612870139543368
trending,SOLUSDT,2024-01-16,15,KAMA,level_shift,0.579364264433162
trending,SOLUSDT,2024-01-16,15,Butterworth (Default),level_shift,0.6903641183365593
trending,SOLUSDT,2024-01-16,15,Butterworth (Matched),level_shift,0.6923583454095266
trending,SOLUSDT,2024-01-16,15,RRCF,level_shift,0.6831549054678976
trending,SOLUSDT,2024-01-16,15,Fixed EMA,point,0.9983823529411766
trending,SOLUSDT,2024-01-16,15,Load Adaptive EMA,point,0.9983823529411765
trending,SOLUSDT,2024-01-16,15,Load-Adaptive EMA (BW-Matched),point,0.9982562091503269
trending,SOLUSDT,2024-01-16,15,KAMA,point,0.9987472766884532
trending,SOLUSDT,2024-01-16,15,Butterworth (Default),point,0.9977962962962963
trending,SOLUSDT,2024-01-16,15,Butterworth (Matched),point,0.9980124183006536
trending,SOLUSDT,2024-01-16,15,RRCF,point,0.999433551198257
